"spkid","full_name","name","diameter","e","a","q","i","om","w","ma","albedo","n","epoch"
0, " The earth", "Earth", 12742, 0,0167, 1.0, 0.983, 0.000, 348,739, 0.00, 0.954, 2460600.5
20000433,"   433 Eros (A898 PA)",Eros,16.84,0.2227,1.458,1.133,10.83,304.27,178.91,86.67,0.25,0.5597,2460600.5
20000719,"   719 Albert (A911 TB)",Albert,,0.5468,2.636,1.195,11.58,183.86,156.22,148.45,,0.2303,2460600.5
20000887,"   887 Alinda (A918 AA)",Alinda,4.2,0.5711,2.473,1.060,9.40,110.42,350.47,340.20,0.31,0.2535,2460600.5
20001036,"  1036 Ganymed (A924 UB)",Ganymed,37.675,0.5328,2.665,1.245,26.69,215.49,132.50,6.98,0.238,0.2265,2460600.5
20001221,"  1221 Amor (1932 EA1)",Amor,1.0,0.4347,1.92,1.085,11.87,171.26,26.72,271.70,,0.3704,2460600.5
20001566,"  1566 Icarus (1949 MA)",Icarus,1.0,0.8270,1.078,0.187,22.80,87.95,31.43,160.86,0.51,0.8805,2460600.5
20001580,"  1580 Betulia (1950 KA)",Betulia,5.8,0.4876,2.195,1.125,52.19,62.23,159.73,319.03,0.08,0.3031,2460600.5
20001620,"  1620 Geographos (1951 RA)",Geographos,2.56,0.3356,1.246,0.828,13.34,337.15,277.01,289.36,0.290,0.709,2460600.5
20001627,"  1627 Ivar (1929 SH)",Ivar,9.12,0.3970,1.863,1.124,8.45,133.08,167.84,156.41,0.15,0.3875,2460600.5
20001685,"  1685 Toro (1948 OA)",Toro,3.4,0.4361,1.368,0.771,9.38,274.21,127.27,196.26,0.31,0.616,2460600.5
20001862,"  1862 Apollo (1932 HA)",Apollo,1.5,0.5599,1.471,0.647,6.35,35.56,286.03,252.87,0.25,0.5527,2460600.5
20001863,"  1863 Antinous (1948 EA)",Antinous,2.1,0.6063,2.261,0.890,18.35,346.00,268.57,173.83,0.24,0.2898,2460600.5
20001864,"  1864 Daedalus (1971 FA)",Daedalus,3.7,0.6143,1.461,0.564,22.21,6.61,325.66,34.28,0.273,0.5581,2460600.5
20001865,"  1865 Cerberus (1971 UA)",Cerberus,1.2,0.4668,1.08,0.576,16.10,212.89,325.29,328.39,0.22,0.8782,2460600.5
20001866,"  1866 Sisyphus (1972 XA)",Sisyphus,8.48,0.5380,1.894,0.875,41.21,63.45,293.12,349.34,0.15,0.3782,2460600.5
20001915,"  1915 Quetzalcoatl (1953 EA)",Quetzalcoatl,0.5,0.5703,2.544,1.093,20.40,162.93,347.77,284.48,0.21,0.2429,2460600.5
20001916,"  1916 Boreas (1953 RA)",Boreas,3.5,0.4493,2.273,1.252,12.88,340.60,335.86,280.05,,0.2876,2460600.5
20001917,"  1917 Cuyo (1968 AA)",Cuyo,5.7,0.5057,2.149,1.062,23.96,188.28,194.56,34.92,0.195,0.3128,2460600.5
20001943,"  1943 Anteros (1973 EC)",Anteros,2.3,0.2561,1.43,1.064,8.71,246.30,338.46,29.90,0.17,0.5761,2460600.5
20001980,"  1980 Tezcatlipoca (1950 LA)",Tezcatlipoca,4.3,0.3647,1.71,1.086,26.87,246.54,115.51,35.06,0.25,0.4409,2460600.5
20001981,"  1981 Midas (1973 EA)",Midas,3.4,0.6505,1.776,0.621,39.82,356.80,267.84,258.81,,0.4163,2460600.5
20002059,"  2059 Baboquivari (1963 UA)",Baboquivari,,0.5318,2.642,1.237,11.02,200.69,192.45,51.33,,0.2296,2460600.5
20002061,"  2061 Anza (1960 UA)",Anza,2.6,0.5356,2.265,1.052,3.80,207.36,157.09,283.26,,0.2891,2460600.5
20002062,"  2062 Aten (1976 AA)",Aten,1.1,0.1829,0.967,0.790,18.93,108.53,148.06,338.03,0.26,1.037,2460600.5
20002063,"  2063 Bacchus (1977 HB)",Bacchus,1.024,0.3494,1.078,0.701,9.44,33.04,55.34,242.55,0.203,0.8806,2460600.5
20002100,"  2100 Ra-Shalom (1978 RA)",Ra-Shalom,2.3,0.4365,0.832,0.469,15.75,170.78,356.08,89.62,0.13,1.299,2460600.5
20002101,"  2101 Adonis (1936 CA)",Adonis,0.6,0.7642,1.874,0.442,1.32,349.43,43.69,230.82,,0.3842,2460600.5
20002102,"  2102 Tantalus (1975 YA)",Tantalus,1.649,0.2993,1.29,0.904,64.00,94.35,61.52,78.27,0.245,0.6726,2460600.5
20002135,"  2135 Aristaeus (1977 HA)",Aristaeus,,0.5030,1.6,0.795,23.07,191.11,290.97,202.31,,0.4871,2460600.5
20002201,"  2201 Oljato (1947 XC)",Oljato,1.80,0.7107,2.179,0.630,2.52,74.87,98.37,334.42,0.4328,0.3065,2460600.5
20002202,"  2202 Pele (1972 RA)",Pele,,0.5128,2.291,1.116,8.74,169.91,217.99,355.86,,0.2843,2460600.5
20002212,"  2212 Hephaistos (1978 SB)",Hephaistos,5.7,0.8361,2.166,0.355,11.31,27.01,210.05,184.81,0.163,0.3091,2460600.5
20002329,"  2329 Orthos (1976 WA)",Orthos,,0.6533,2.41,0.836,24.46,169.28,146.05,325.99,,0.2634,2460600.5
20002340,"  2340 Hathor (1976 UA)",Hathor,0.3,0.4500,0.8438,0.464,5.86,211.29,40.10,53.40,,1.272,2460600.5
20002368,"  2368 Beltrovata (1977 RA)",Beltrovata,2.3,0.4135,2.105,1.234,5.22,287.29,43.07,158.64,0.27,0.3228,2460600.5
20002608,"  2608 Seneca (1978 DA)",Seneca,0.9,0.5651,2.532,1.101,14.43,166.52,38.59,272.88,0.21,0.2447,2460600.5
20003102,"  3102 Krok (1981 QA)",Krok,1.6,0.4493,2.151,1.185,8.44,172.05,154.77,241.78,,0.3124,2460600.5
20003103,"  3103 Eger (1982 BB)",Eger,1.5,0.3542,1.404,0.907,20.93,129.73,254.12,304.12,0.64,0.5924,2460600.5
20003122,"  3122 Florence (1981 ET3)",Florence,4.9,0.4231,1.769,1.021,22.14,336.05,27.90,0.67,0.231,0.4189,2460600.5
20003199,"  3199 Nefertiti (1982 RA)",Nefertiti,2.2,0.2842,1.574,1.127,32.96,339.98,53.43,78.94,0.42,0.4989,2460600.5
20003200,"  3200 Phaethon (1983 TB)",Phaethon,6.25,0.8898,1.271,0.140,22.31,265.10,322.31,248.98,0.1066,0.6875,2460600.5
20003271,"  3271 Ul (1982 RB)",Ul,,0.3956,2.102,1.270,25.07,158.81,159.08,304.61,,0.3235,2460600.5
20003288,"  3288 Seleucus (1982 DV)",Seleucus,2.8,0.4549,2.035,1.109,5.93,218.61,349.35,241.11,0.22,0.3395,2460600.5
20003352,"  3352 McAuliffe (1981 CW)",McAuliffe,,0.3691,1.879,1.185,4.77,107.33,16.07,347.84,,0.3827,2460600.5
20003360,"  3360 Syrinx (1981 VA)",Syrinx,1.8,0.7457,2.468,0.628,21.14,242.46,63.56,49.58,0.17,0.2542,2460600.5
20003361,"  3361 Orpheus (1982 HR)",Orpheus,0.3,0.3229,1.21,0.820,2.66,188.68,302.34,24.54,0.357,0.7401,2460600.5
20003362,"  3362 Khufu (1984 QA)",Khufu,0.7,0.4685,0.9895,0.526,9.92,152.40,55.09,359.85,0.21,1.001,2460600.5
20003551,"  3551 Verenia (1983 RD)",Verenia,0.9,0.4870,2.093,1.074,9.51,173.78,193.30,203.09,0.37,0.3256,2460600.5
20003552,"  3552 Don Quixote (1983 SA)","Don Quixote",19.0,0.7073,4.267,1.249,31.06,349.96,316.53,263.48,0.03,0.1118,2460600.5
20003553,"  3553 Mera (1985 JA)",Mera,,0.3199,1.645,1.118,36.78,232.49,288.88,289.71,,0.4673,2460600.5
20003554,"  3554 Amun (1986 EB)",Amun,3.341,0.2806,0.974,0.701,23.36,358.60,359.42,226.57,0.074,1.025,2460600.5
20003671,"  3671 Dionysus (1984 KD)",Dionysus,1.5,0.5420,2.2,1.008,13.54,82.05,204.33,131.35,0.16,0.302,2460600.5
20003691,"  3691 Bede (1982 FT)",Bede,4.3,0.2844,1.774,1.270,20.35,348.70,235.08,345.07,0.515,0.417,2460600.5
20003752,"  3752 Camillo (1985 PA)",Camillo,2.306,0.3016,1.414,0.987,55.56,147.96,312.22,8.79,0.210,0.5864,2460600.5
20003753,"  3753 Cruithne (1986 TO)",Cruithne,2.071,0.5148,0.9978,0.484,19.80,126.19,43.88,308.80,0.365,0.9889,2460600.5
20003757,"  3757 Anagolay (1982 XB)",Anagolay,0.5,0.4459,1.834,1.017,3.87,74.93,17.24,293.70,0.18,0.3967,2460600.5
20003838,"  3838 Epona (1986 WA)",Epona,,0.7027,1.505,0.447,29.20,235.47,49.72,225.76,,0.534,2460600.5
20003908,"  3908 Nyx (1980 PA)",Nyx,1.0,0.4592,1.928,1.042,2.19,261.20,126.65,165.71,0.23,0.3682,2460600.5
20003988,"  3988 Huma (1986 LA)",Huma,0.7,0.3166,1.545,1.056,10.77,229.79,86.91,316.36,,0.5135,2460600.5
20004015,"  4015 Wilson-Harrington (1979 VA)",Wilson-Harrington,4,0.6312,2.626,0.968,2.80,266.73,95.52,181.75,0.05,0.2317,2460600.5
20004034,"  4034 Vishnu (1986 PA)",Vishnu,0.42,0.4441,1.06,0.589,11.17,157.89,296.70,260.40,0.52,0.9037,2460600.5
20004055,"  4055 Magellan (1985 DO2)",Magellan,2.49,0.3261,1.82,1.227,23.25,164.82,154.38,267.34,0.31,0.4014,2460600.5
20004179,"  4179 Toutatis (1989 AC)",Toutatis,5.4,0.6248,2.543,0.954,0.45,125.36,277.88,339.68,0.405,0.243,2460600.5
20004183,"  4183 Cuno (1959 LM)",Cuno,3.651,0.6361,1.981,0.721,6.67,294.35,237.02,175.91,0.097,0.3536,2460600.5
20004197,"  4197 Morpheus (1982 TA)",Morpheus,1.8,0.7724,2.295,0.522,12.60,7.01,122.55,357.11,0.37,0.2835,2460600.5
20004257,"  4257 Ubasti (1987 QA)",Ubasti,,0.4683,1.647,0.876,40.72,169.15,278.94,160.95,,0.4662,2460600.5
20004341,"  4341 Poseidon (1987 KF)",Poseidon,3.177,0.6800,1.834,0.587,11.84,108.03,15.83,44.04,0.054,0.3968,2460600.5
20004401,"  4401 Aditi (1985 TB)",Aditi,1.801,0.5633,2.584,1.128,26.63,22.78,68.15,133.50,0.343,0.2373,2460600.5
20004450,"  4450 Pan (1987 SY)",Pan,,0.5866,1.443,0.596,5.52,311.70,291.94,192.17,,0.5689,2460600.5
20004486,"  4486 Mithra (1987 SB)",Mithra,1.849,0.6620,2.205,0.745,3.04,82.18,169.12,156.61,0.297,0.3009,2460600.5
20004487,"  4487 Pocahontas (1987 UA)",Pocahontas,,0.2966,1.73,1.217,16.41,198.10,173.99,95.85,,0.4331,2460600.5
20004503,"  4503 Cleobulus (1989 WM)",Cleobulus,,0.5247,2.703,1.285,2.51,45.94,76.25,287.79,,0.2218,2460600.5
20004544,"  4544 Xanthus (1989 FB)",Xanthus,1.3,0.2501,1.042,0.781,14.14,23.95,333.83,354.50,,0.9267,2460600.5
20004581,"  4581 Asclepius (1989 FC)",Asclepius,,0.3570,1.023,0.658,4.92,180.20,255.38,212.12,,0.9531,2460600.5
20004596,"  4596 (1981 QB)",,,0.5200,2.24,1.075,37.07,154.19,248.42,290.19,,0.2941,2460600.5
20004660,"  4660 Nereus (1982 DB)",Nereus,0.33,0.3587,1.485,0.952,1.45,313.11,159.54,191.96,0.55,0.5446,2460600.5
20004688,"  4688 (1980 WF)",,0.6,0.5179,2.232,1.076,6.38,241.23,213.80,45.35,0.18,0.2955,2460600.5
20004769,"  4769 Castalia (1989 PB)",Castalia,1.4,0.4832,1.063,0.549,8.88,325.51,121.44,324.11,0.092,0.8992,2460600.5
20004947,"  4947 Ninkasi (1988 TJ1)",Ninkasi,,0.1685,1.37,1.139,15.65,215.43,192.93,144.57,,0.6146,2460600.5
20004953,"  4953 (1990 MU)",,,0.6574,1.621,0.555,24.38,77.53,77.93,285.02,,0.4774,2460600.5
20004954,"  4954 Eric (1990 SQ)",Eric,10.8,0.4494,2.001,1.102,17.43,358.41,52.62,347.92,0.176,0.3481,2460600.5
20004957,"  4957 Brucemurray (1990 XJ)",Brucemurray,3.499,0.2189,1.565,1.223,35.01,254.88,97.48,150.48,0.132,0.5033,2460600.5
20005011,"  5011 Ptah (6743 P-L)",Ptah,,0.5001,1.636,0.818,7.41,10.63,105.94,173.66,,0.471,2460600.5
20005131,"  5131 (1990 BG)",,,0.5692,1.486,0.640,36.44,110.34,135.87,358.09,,0.5441,2460600.5
20005143,"  5143 Heracles (1991 VL)",Heracles,4.843,0.7710,1.835,0.420,8.98,309.09,228.22,45.49,0.227,0.3965,2460600.5
20005189,"  5189 (1990 UQ)",,,0.4783,1.552,0.809,3.58,135.05,159.95,257.64,,0.51,2460600.5
20005324,"  5324 Lyapunov (1987 SL)",Lyapunov,,0.6052,2.982,1.177,19.62,352.16,321.13,101.93,,0.1914,2460600.5
20005332,"  5332 Davidaguilar (1990 DA)",Davidaguilar,3.6,0.4557,2.163,1.177,25.52,142.77,306.07,339.58,,0.3098,2460600.5
20005370,"  5370 Taranis (1986 RA)",Taranis,3.6,0.6370,3.319,1.205,19.17,177.79,161.31,90.75,0.037,0.163,2460600.5
20005381,"  5381 Sekhmet (1991 JY)",Sekhmet,0.935,0.2964,0.9475,0.667,48.97,58.53,37.42,199.13,0.507,1.069,2460600.5
20005496,"  5496 (1973 NA)",,,0.6350,2.435,0.889,68.00,101.04,117.98,195.45,,0.2594,2460600.5
20005587,"  5587 (1990 SB)",,3.57,0.5441,2.4,1.094,18.07,189.85,86.96,103.89,0.32,0.2651,2460600.5
20005590,"  5590 (1990 VA)",,,0.2802,0.9864,0.710,14.18,216.26,34.47,25.89,,1.006,2460600.5
20005604,"  5604 (1992 FE)",,0.55,0.4061,0.9286,0.552,4.71,311.89,82.68,269.92,0.48,1.101,2460600.5
20005620,"  5620 Jasonwheeler (1990 OA)",Jasonwheeler,,0.4228,2.159,1.246,7.87,128.65,153.76,292.11,,0.3108,2460600.5
20005626,"  5626 Melissabrucker (1991 FE)",Melissabrucker,,0.4547,2.195,1.197,3.85,173.10,231.87,200.05,,0.3031,2460600.5
20005645,"  5645 (1990 SP)",,1.668,0.3873,1.355,0.830,13.51,45.71,48.27,164.51,0.121,0.6251,2460600.5
20005646,"  5646 (1990 TR)",,4.3,0.4357,2.144,1.210,7.91,14.10,335.77,314.96,0.223,0.314,2460600.5
20005653,"  5653 Camarillo (1992 WD5)",Camarillo,1.537,0.3042,1.794,1.248,6.87,9.89,122.62,63.97,0.271,0.4101,2460600.5
20005660,"  5660 (1974 MA)",,,0.7621,1.785,0.425,38.14,302.12,127.04,358.08,,0.4132,2460600.5
20005693,"  5693 (1993 EA)",,,0.5851,1.271,0.527,5.06,96.98,258.98,203.14,,0.6882,2460600.5
20005731,"  5731 Zeus (1988 VP4)",Zeus,5.231,0.6521,2.266,0.788,11.20,280.59,218.43,166.28,0.031,0.289,2460600.5
20005751,"  5751 Zao (1992 AC)",Zao,2.3,0.4254,2.101,1.207,16.07,121.63,25.46,254.35,0.36,0.3236,2460600.5
20005786,"  5786 Talos (1991 RC)",Talos,,0.8268,1.081,0.187,23.22,161.28,8.39,277.56,,0.8763,2460600.5
20005797,"  5797 Bivoj (1980 AA)",Bivoj,0.4,0.4443,1.894,1.052,4.19,298.92,168.64,69.36,,0.3782,2460600.5
20005828,"  5828 (1991 AM)",,1.457,0.6949,1.698,0.518,30.12,125.42,152.77,57.64,0.331,0.4454,2460600.5
20005836,"  5836 (1993 MF)",,2.754,0.5365,2.441,1.131,7.94,238.71,78.09,59.58,0.156,0.2584,2460600.5
20005863,"  5863 Tara (1983 RB)",Tara,1.345,0.5065,2.222,1.097,19.49,168.76,115.62,166.87,0.488,0.2976,2460600.5
20005869,"  5869 Tanith (1988 VN4)",Tanith,,0.3213,1.812,1.230,17.93,227.85,230.86,232.38,,0.404,2460600.5
20005879,"  5879 Almeria (1992 CH1)",Almeria,,0.2892,1.625,1.155,21.57,145.83,355.78,283.14,,0.476,2460600.5
20006037,"  6037 (1988 EG)",,,0.4997,1.272,0.636,3.51,182.18,242.32,249.72,,0.6874,2460600.5
20006047,"  6047 (1991 TB1)",,,0.3521,1.455,0.942,23.47,6.07,103.82,242.40,,0.5619,2460600.5
20006050,"  6050 Miwablock (1992 AE)",Miwablock,2.884,0.4372,2.202,1.239,6.41,88.15,285.05,33.19,0.257,0.3016,2460600.5
20006053,"  6053 (1993 BW3)",,3.720,0.5287,2.147,1.012,21.58,318.23,74.93,82.05,0.140,0.3134,2460600.5
20006063,"  6063 Jason (1984 KB)",Jason,1.4,0.7622,2.22,0.528,4.96,169.03,337.61,99.90,0.21,0.2979,2460600.5
20006178,"  6178 (1986 DA)",,2.3,0.5845,2.815,1.169,4.31,64.49,127.48,54.83,0.15,0.2087,2460600.5
20006239,"  6239 Minos (1989 QF)",Minos,,0.4126,1.151,0.676,3.94,344.53,239.77,224.50,,0.7982,2460600.5
20006455,"  6455 (1992 HE)",,4.626,0.5728,2.24,0.957,37.34,26.89,262.75,230.08,0.227,0.294,2460600.5
20006456,"  6456 Golombek (1992 OM)",Golombek,,0.4090,2.193,1.296,8.22,313.57,347.10,335.09,,0.3035,2460600.5
20006489,"  6489 Golevka (1991 JX)",Golevka,0.53,0.6151,2.484,0.956,2.27,209.42,68.66,151.88,0.151,0.2518,2460600.5
20006491,"  6491 (1991 OA)",,,0.5917,2.506,1.023,6.00,301.00,324.73,142.22,,0.2484,2460600.5
20006569,"  6569 Ondaatje (1993 MO)",Ondaatje,,0.2209,1.626,1.267,22.64,111.46,167.30,29.09,,0.4753,2460600.5
20006611,"  6611 (1993 VW)",,1.408,0.4846,1.696,0.874,8.70,230.77,281.59,315.03,0.158,0.4461,2460600.5
20007025,"  7025 (1993 QA)",,0.498,0.3150,1.476,1.011,12.61,146.59,323.45,14.75,0.340,0.5498,2460600.5
20007088,"  7088 Ishtar (1992 AA)",Ishtar,1.298,0.3903,1.981,1.208,8.30,102.61,354.78,271.76,0.260,0.3535,2460600.5
20007092,"  7092 Cadmus (1992 LC)",Cadmus,6.319,0.6935,2.545,0.780,17.79,56.72,94.77,30.55,0.046,0.2427,2460600.5
20007236,"  7236 (1987 PA)",,,0.5598,2.727,1.200,16.37,308.24,338.24,106.90,,0.2189,2460600.5
20007335,"  7335 (1989 JA)",,1.8,0.4846,1.772,0.913,15.17,61.28,232.27,349.17,0.448,0.4178,2460600.5
20007336,"  7336 Saunders (1989 RS1)",Saunders,,0.4815,2.306,1.196,7.20,174.46,181.56,5.75,,0.2815,2460600.5
20007341,"  7341 (1991 VK)",,0.982,0.5061,1.841,0.909,5.41,294.73,173.48,37.89,0.235,0.3944,2460600.5
20007350,"  7350 (1993 VA)",,1.921,0.3911,1.356,0.826,7.26,133.05,336.70,183.75,0.069,0.6242,2460600.5
20007358,"  7358 Oze (1995 YA3)",Oze,,0.5020,2.199,1.095,4.66,265.42,92.31,351.77,,0.3023,2460600.5
